

This is just a part of theoverall output




GJ Bailey,MC Henriques,3,19	
KL Rahul,DS Kulkarni,3,19	
DPMD Jayawardene,JA Morkel,3,20	
GJ Maxwell,UT Yadav,3,20	
TL Suman,Harbhajan Singh,3,20	
DPMD Jayawardene,I Sharma,3,21	
PA Patel,SL Malinga,3,21	
RG Sharma,JA Morkel,3,21	
SR Watson,P Negi,3,21	
DJ Bravo,RP Singh,3,22	
Q de Kock,MJ McClenaghan,3,22	
R Dravid,MM Patel,3,22	
YK Pathan,PP Chawla,3,22	
BB McCullum,RP Singh,3,23	
DA Miller,YS Chahal,3,23	
RV Uthappa,SK Warne,3,23	
AT Rayudu,AB Dinda,3,24	
BB McCullum,YS Chahal,3,24	
G Gambhir,S Aravind,3,24	
GJ Maxwell,YS Chahal,3,24	
KD Karthik,CH Morris,3,24	
V Sehwag,SR Watson,3,24	
DA Warner,L Balaji,3,25	
V Kohli,L Balaji,3,25	
JH Kallis,R Vinay Kumar,3,26	
KA Pollard,R Ashwin,3,26	
KC Sangakkara,R Ashwin,3,26	
R Dravid,Harbhajan Singh,3,26	
RV Uthappa,Iqbal Abdulla,3,26	
S Dhawan,MG Johnson,3,26	
AM Rahane,R Ashwin,3,27	
MA Agarwal,R Ashwin,3,27	
SR Tendulkar,R Bhatia,3,27	
CH Gayle,SR Watson,3,28	
G Gambhir,AD Mascarenhas,3,28	
V Kohli,KA Pollard,3,28	
AB de Villiers,JA Morkel,3,29	
AB de Villiers,L Balaji,3,29	
G Gambhir,CH Morris,3,29	
RA Jadeja,SL Malinga,3,29	
RV Uthappa,KV Sharma,3,29	
SR Watson,SP Narine,3,29	
KD Karthik,DJ Bravo,3,30	
RV Uthappa,M Kartik,3,30	
SR Watson,DJ Bravo,3,30	
WP Saha,DJ Bravo,3,30	
KP Pietersen,Harbhajan Singh,3,31	
MK Tiwary,RA Jadeja,3,31	
NV Ojha,R Bhatia,3,31	
YK Pathan,MM Sharma,3,31	
Yuvraj Singh,SL Malinga,3,31	
CH Gayle,DS Kulkarni,3,32	
R Dravid,AD Mathews,3,32	
KA Pollard,YS Chahal,3,33	
S Dhawan,A Mishra,3,33	
WP Saha,M Morkel,3,33	
KA Pollard,MM Sharma,3,34	
AC Gilchrist,JA Morkel,3,35	
MS Dhoni,JJ Bumrah,3,35	
RV Uthappa,KA Pollard,3,35	
SS Iyer,Sandeep Sharma,3,35	
V Kohli,JH Kallis,3,35	
AT Rayudu,HV Patel,3,36	
CH Gayle,CH Morris,3,36	
GJ Maxwell,PP Chawla,3,36	
KD Karthik,A Nehra,3,36	
AJ Finch,MG Johnson,3,37	
DJ Bravo,PP Ojha,3,37	
PA Patel,YK Pathan,3,37	
SR Watson,RP Singh,3,37	
SS Iyer,AD Russell,3,37	
AC Gilchrist,A Kumble,3,38	
AT Rayudu,S Nadeem,3,38	
G Gambhir,MG Johnson,3,38	
KC Sangakkara,M Muralitharan,3,38	
MS Dhoni,SR Watson,3,38	
V Sehwag,A Nehra,3,38	
CH Gayle,Z Khan,3,39	
SV Samson,UT Yadav,3,39	
BB McCullum,AR Patel,3,40	
CH Gayle,UT Yadav,3,40	
DPMD Jayawardene,SL Malinga,3,40	
SR Watson,PP Chawla,3,40	
SV Samson,SP Narine,3,40	
V Sehwag,MM Patel,3,40	
YK Pathan,R Ashwin,3,40	
BB McCullum,R Ashwin,3,41	
JH Kallis,DJ Bravo,3,41	
RV Uthappa,DS Kulkarni,3,41	
A Symonds,A Mishra,3,42	
DA Warner,UT Yadav,3,42	
JH Kallis,DL Vettori,3,43	
KD Karthik,M Muralitharan,3,43	
SR Tendulkar,RP Singh,3,43	
YK Pathan,B Kumar,3,43	
AM Rahane,KV Sharma,3,44	
MEK Hussey,SP Narine,3,44	
PA Patel,R Ashwin,3,44	
RV Uthappa,M Muralitharan,3,44	
RV Uthappa,IK Pathan,3,44	
DR Smith,B Kumar,3,45	
SK Raina,P Kumar,3,47	
AT Rayudu,Shakib Al Hasan,3,48	
M Vijay,SR Watson,3,48	
RV Uthappa,RA Jadeja,3,48	
S Dhawan,MJ McClenaghan,3,48	
YK Pathan,PP Ojha,3,49	
F du Plessis,Harbhajan Singh,3,50	
WP Saha,SP Narine,3,51	
RG Sharma,SK Warne,3,52	
AM Rahane,SP Narine,3,54	
RA Jadeja,PP Chawla,3,54	
S Dhawan,MM Sharma,3,55	
MS Dhoni,KA Pollard,3,57	
M Vijay,Harbhajan Singh,3,58	
PA Patel,Sandeep Sharma,3,58	
PA Patel,P Kumar,3,59	
SK Raina,B Kumar,3,59	
AM Rahane,S Nadeem,3,60	
WP Saha,PP Chawla,3,61	
SK Raina,SK Warne,3,62	
V Kohli,M Morkel,3,62	
KA Pollard,DJ Bravo,3,64	
KC Sangakkara,Harbhajan Singh,3,64	
SK Raina,YK Pathan,3,64	
SK Raina,A Mishra,3,64	
G Gambhir,SR Watson,3,68	
V Kohli,IK Pathan,3,70	
AM Rahane,A Mishra,3,72	
V Kohli,PP Chawla,3,72	
AT Rayudu,A Mishra,3,74	
JH Kallis,PP Ojha,3,84	
DA Warner,Harbhajan Singh,3,88	
RG Sharma,UT Yadav,3,88	
SK Raina,UT Yadav,3,90	
DA Warner,P Kumar,3,92	
CH Gayle,Harbhajan Singh,3,94	
V Kohli,RA Jadeja,3,99	
AB Dinda,SL Malinga,2,6	
BA Stokes,AJ Tye,2,6	
BA Stokes,HH Pandya,2,6	
DB Das,Sohail Tanvir,2,6	
DJ Bravo,MA Starc,2,6	
IK Pathan,R Dhawan,2,6	
JD Ryder,Harbhajan Singh,2,6	
JDP Oram,IK Pathan,2,6	
JP Faulkner,Sandeep Sharma,2,6	
KA Pollard,CR Woakes,2,6	
KD Karthik,BB Sran,2,6	
KL Rahul,Rashid Khan,2,6	
M Vijay,M Muralitharan,2,6	
ML Hayden,KA Pollard,2,6	
MS Bisla,PP Ojha,2,6	
MV Boucher,RP Singh,2,6	
R Bhatia,Harbhajan Singh,2,6	
R Sathish,DJ Bravo,2,6	
RR Pant,L Ngidi,2,6	
S Nadeem,P Negi,2,6	
SC Ganguly,AD Mascarenhas,2,6	
SK Raina,J Theron,2,6	
SK Warne,A Kumble,2,6	
STR Binny,UT Yadav,2,6	
V Sehwag,JP Faulkner,2,6	
AD Mascarenhas,R Bhatia,2,7	
AM Nayar,A Nehra,2,7	
AT Rayudu,SJ Srivastava,2,7	
BB McCullum,MM Sharma,2,7	
BJ Hodge,R Vinay Kumar,2,7	
CL White,P Parameswaran,2,7	
DB Das,S Sreesanth,2,7	
DJ Hussey,PP Chawla,2,7	
Ishan Kishan,Imran Tahir,2,7	
JA Morkel,Azhar Mahmood,2,7	
JC Buttler,A Mishra,2,7	
KD Karthik,BE Hendricks,2,7	
KM Jadhav,JD Unadkat,2,7	
LR Shukla,Z Khan,2,7	
MC Henriques,Sandeep Sharma,2,7	
MD Mishra,P Kumar,2,7	
MK Pandey,PV Tambe,2,7	
NV Ojha,J Suchith,2,7	
NV Ojha,JD Unadkat,2,7	
P Negi,CH Morris,2,7	
Q de Kock,AD Russell,2,7	
R Ashwin,IK Pathan,2,7	
RA Tripathi,PP Chawla,2,7	
RA Tripathi,P Negi,2,7	
SC Ganguly,M Morkel,2,7	
SE Marsh,AB McDonald,2,7	
SE Marsh,JP Duminy,2,7	
SK Warne,A Mishra,2,7	
SP Narine,RA Jadeja,2,7	
SS Iyer,HV Patel,2,7	
Z Khan,DW Steyn,2,7	
